166460;Line (2008/ Maya Entertainment/ Blu-ray);Maya Entertainment;14.98;R;Action/Adventure;2009-11-10
139978;Line Dance Aerobics (Blu-ray);Blu-ray Only;14.95;NR;Exercise;2008-08-12
157301;Linkin Park: Road To Revolution: Live At Milton Keynes (WEA/ Blu-ray);WEA;24.99;NR;Music;2009-05-05
252730;Linkola: Robin Hood: Mari Palo / Ville Rusanen / Matti Salminen (DVD & Blu-ray Combo);Alba Records;25.98;NR;Opera;2013-09-24
204812;Lion King (Diamond Edition/ DVD & Blu-ray Combo);Buena Vista;39.99;G;Animation;2011-10-04
204912;Lion King (Diamond Edition/ DVD & Blu-ray Combo/ DVD Case);Buena Vista;39.99;G;Animation;2011-10-04
204819;Lion King (Diamond Edition/ En Espanol/ DVD & Blu-ray Combo);Buena Vista;39.99;G;Animation;2011-10-04
204846;Lion King (Diamond Edition/ En Espanol/ DVD & Blu-ray Combo/ DVD Case);Buena Vista;39.99;G;Animation;2011-10-04
220802;Lion King 1 1/2 (Special Edition/ DVD & Blu-ray Combo);Buena Vista;39.99;G;Animation;2012-03-06
220805;Lion King 1 1/2 (Special Edition/ DVD & Blu-ray Combo/ DVD Case);Buena Vista;39.99;G;Animation;2012-03-06
220814;Lion King 2: Simba's Pride (Special Edition/ DVD & Blu-ray Combo);Buena Vista;39.99;G;Animation;2012-03-06
220808;Lion King 2: Simba's Pride (Special Edition/ DVD & Blu-ray Combo/ DVD Case);Buena Vista;39.99;G;Animation;2012-03-06
204871;Lion King 3D (Diamond Edition/ DVD & Blu-ray Combo/ Blu-ray 3D w/ Digital Copy);Buena Vista;49.99;G;Animation;2011-10-04
204790;Lion King Trilogy Collection (DVD & Blu-ray Combo/ Blu-ray 3D w/ Digital Copy);Buena Vista;100.0;G;Animation;2011-10-04
220205;Lion Of Judah (2011/ Blu-ray 3D & Blu-ray Combo);Warner Brothers;34.99;NR;Animation;2012-03-27
251622;Lion Of The Desert (Blu-ray);Anchor Bay;19.99;PG;War;2013-11-12
245452;Lionel Bringuier & Nelson Freire: Live At The Royal Albert Hall (Blu-ray);BelAir Classiques;29.99;NR;Music;2013-04-30
254666;Lionel Richie: Can't Slow Down (Audio Only Blu-ray);Motown;30.98;NR;Music;2013-10-22
149354;Lionel Richie: Live: His Greatest Hits & More (Blu-ray);Mercury Records;59.98;NR;Music;2008-11-25
157951;Lions For Lambs (Widescreen/ Blu-ray);MGM/UA;24.99;R;Thriller;2009-05-19
218645;Lips Of Blood (Redemption USA/ Blu-ray);Redemption USA;24.95;NR;Foreign;2012-01-24
230551;Lisa And The Devil (Redemption USA/ Blu-ray) / The House Of Exorcism (Remastered Edition/ Blu-ray);Redemption USA;29.95;NR;Horror;2012-09-18
265076;Listen To Me, Girls. I Am Your Father!: Complete Collection (Blu-ray);Sentai FilmWorks;59.98;MA13;Anime;2014-09-09
222993;Liszt: Piano Concertos / Wagner: A Faust Overture: Daniel Barenboim (Blu-ray);Accentus;39.99;NR;Music;2012-02-28
187749;Little Ashes (Indie Europe/ Blu-ray);Ais;73.98;R;Drama;2010-08-03
214230;Little Big Man (Blu-ray);Paramount;24.99;PG-13;Western;2011-11-08
214227;Little Big Man (Blu-ray/ Checkpoint);Paramount;24.99;PG-13;Western;2011-11-08
206943;Little Big Soldier (Blu-ray);Well Go USA;26.98;PG-13;Foreign;2011-08-23
225021;Little Bit Of Heaven (Blu-ray);Millennium Media Services;14.99;PG-13;Comedy;2012-06-12
225023;Little Bit Of Heaven (DVD & Blu-ray Combo);Millennium Media Services;45.0;PG-13;Comedy;2012-06-12
250399;Little Busters!: Season 1: Collection 1 (Blu-ray);Sentai FilmWorks;69.98;MA13;Anime;2013-11-19
258042;Little Busters!: Season 2: Collection 2 (Blu-ray);A.D. Vision;69.98;MA13;Anime;2014-04-22
244590;Little Caesar (Blu-ray);Warner Brothers;19.98;NR;Drama;2013-05-21
139479;Little Chenier: A Cajun Story (DVD & Blu-ray Combo);Radio London Films;29.99;R;Drama;2008-07-08
199278;Little Fockers (DVD & Blu-ray Combo w/ Digital Copy);Universal;14.98;PG-13;Comedy;2011-04-05
240872;Little Fugitive (1953/ Special Edition/ Blu-ray);Kino;34.95;NR;Drama;2013-03-26
212968;Little Help (Blu-ray);Image;17.97;R;Drama;2011-10-25
259209;Little House On The Prairie (1974/ Lions Gate): Season 1 (Blu-ray w/ Digital Copy);Lions Gate;38.99;NR;TV Classics;2014-03-25
261009;Little House On The Prairie (1974/ Lions Gate): Season 2 (Blu-ray w/ Digital Copy);Lions Gate;38.99;NR;TV Classics;2014-05-06
266064;Little House On The Prairie (1974/ Lions Gate): Season 3 (Blu-ray);Lions Gate;24.99;NR;TV Classics;2014-09-09
262278;Little House On The Prairie (1974/ Thomas Nelson): Season 1 (Blu-ray);Thomas Nelson;46.99;NR;TV Classics;2014-04-15
262267;Little House On The Prairie (1974/ Thomas Nelson): Season 2 (Blu-ray);Thomas Nelson;46.99;NR;TV Classics;2014-05-06
225225;Little Lord Fauntleroy (1936/ Kino/ Remastered Edition/ Blu-ray);Kino;29.95;NR;Drama;2012-06-26
93805;Little Man (2006/ Blu-ray);Sony Pictures;14.99;PG-13;Comedy;2006-11-07
245527;Little Mermaid (1989/ Diamond Edition/ Blu-ray 3D/ DVD & Blu-ray Combo w/ Digital Copy);Buena Vista;44.99;G;Animation;2013-10-01
245964;Little Mermaid (1989/ Diamond Edition/ Blu-ray 3D/ DVD & Blu-ray Combo w/ Digital Copy/ Alternate UPC);Buena Vista;49.99;G;Animation;2013-10-01
245503;Little Mermaid (1989/ Diamond Edition/ DVD & Blu-ray Combo w/ Digital Copy);Buena Vista;39.99;G;Animation;2013-10-01
245513;Little Mermaid (1989/ Diamond Edition/ DVD & Blu-ray Combo/ DVD Case w/ Digital Copy);Buena Vista;39.99;G;Animation;2013-10-01
251757;Little Mermaid II: Return To The Sea / Little Mermaid: Ariel's Beginning (DVD & Blu-ray Combo);Buena Vista;39.99;G;Animation;2013-11-19
148376;Little Miss Sunshine (Blu-ray);Fox;14.99;R;Comedy;2009-02-03
231377;Little Miss Sunshine (Blu-ray) / Sideways (Blu-ray);Fox;19.99;R;Comedy;2012-09-04
235441;Little Nemo: Adventures In Slumberland (Eastern Star/ Blu-ray);Eastern Star;29.95;G;Animation;2012-11-06
263674;Little Rascals (1994/ Blu-ray);Universal;19.98;PG;Comedy;2014-07-01
253665;Little Rascals (Legend Films): Best Of Our Gang In 3D (Blu-ray 3D/ Blu-ray);Legend Films;19.95;NR;Comedy;2013-10-08
258836;Little Rascals Save The Day (DVD & Blu-ray Combo w/ Digital Copy);Universal;29.98;PG;Comedy;2014-04-01
258847;Little Rascals Save The Day (DVD & Blu-ray Combo/ Rental Ready);Universal;29.98;PG;Comedy;2014-04-29
223171;Little Shop Of Horrors (1960/ Legend Films/ Blu-ray);Legend Films;16.95;NR;Comedy;2012-03-06
230174;Little Shop Of Horrors (1986/ The Director's Cut/ Blu-ray);Warner Brothers;27.98;PG-13;Musical;2012-10-09
236962;Little White Lies (Blu-ray);MPI;29.98;NR;Foreign;2013-02-05
225105;Littlerock (Blu-ray);Lorber Films;24.95;NR;Drama;2012-04-10
220214;Littlest Angel (2011/ Blu-ray);Anchor Bay;17.99;G;Animation;2012-02-14
143772;Live And Let Die (Utlimate Edition/ Blu-ray);MGM/UA;19.99;PG;Action/Adventure;2008-10-21
142717;Live At Montreux (Blu-ray);Eagle Vision;19.98;NR;Music;2008-10-07
266011;Live At Wacken 2013 (Blu-ray);UDR Records;29.99;NR;Music;2014-07-29
261992;Live Free Or Die Hard (Widecreen/ PG-13 Version/ DVD & Blu-ray Combo);Fox;24.99;PG-13;Action/Adventure;2014-05-06
120181;Live Free Or Die Hard (Widescreen/ PG-13 Version/ Blu-ray);Fox;19.99;PG-13;Action/Adventure;2007-11-20
145274;Live From Abbey Road: The Best Of Season 1 (Blu-ray);BCI Eclipse / Brentwood;26.98;NR;Music;2008-11-11
237779;Live Nude Girls (1995/ Olive Films/ Blu-ray);Olive Films;29.95;R;Comedy;2013-02-19
109547;Lives Of Others (Blu-ray);Columbia/Tri-Star;19.99;R;Foreign;2007-08-21
240986;Living Daylights (Blu-ray);MGM/UA;19.99;PG;Action/Adventure;2013-02-12
169108;Living Dead At Manchester Morgue (Blu-ray);Blue Underground;19.98;NR;Horror;2009-10-27
228669;Living Dead Girl (Remastered Edition/ Blu-ray);Redemption USA;24.95;NR;Foreign;2012-08-28
139840;Living Sea: IMAX (Blu-ray);Image;17.97;NR;Documentary;2008-11-11
171926;Liza Minnelli: Liza's At The Palace (Blu-ray);MPI;29.98;NR;Music;2010-02-09
182302;Lock Up (1989/ Blu-ray);Lions Gate;9.99;R;Action/Adventure;2010-07-27
169344;Lock, Stock And Two Smoking Barrels (Universal/ Blu-ray);Universal;14.98;R;Action/Adventure;2009-12-01
206246;Lock, Stock And Two Smoking Barrels (Universal/ DVD & Blu-ray Combo w/ Digital Copy);Universal;19.98;R;Action/Adventure;2011-06-28
199789;Lockdown (2001/ Image/ Blu-ray);Image;17.97;R;Drama;2011-05-17
265227;Locke (Blu-ray w/ Digital Copy);Lions Gate;24.99;R;Suspense/Thriller;2014-08-12
188251;Locked Down (Blu-ray);Lions Gate;9.99;R;Action/Adventure;2010-11-09
227859;Lockout (2012/ Blu-ray);Sony Pictures;19.99;PG-13;SciFi;2012-07-17
165158;Logan's Run (1976/ Warner Brothers/ Blu-ray);Warner Brothers;14.97;PG;SciFi;2009-11-10
171923;Lola Montes (Criterion Collection/ Blu-ray);Criterion Collection;39.95;NR;Foreign;2010-02-16
231574;Lola Versus (Blu-ray);Fox;19.99;R;Comedy;2012-09-11
231555;Lola Versus (Blu-ray/ Rental Ready);Fox;29.99;R;Comedy;2012-09-11
210316;Lolita (1962/ Blu-ray);Warner Brothers;19.98;NR;Drama;2011-08-23
210298;Lolita (1962/ Blu-ray/ Amazon Exclusive);Warner Brothers;19.98;NR;Drama;2011-05-31
220422;London Boulevard (Blu-ray);Sony Pictures;19.99;R;Action/Adventure;2012-02-21
222954;London River (Blu-ray);Cinema Libre;29.95;NR;Drama;2012-04-03
252862;Lone Ranger (2013/ DVD & Blu-ray w/ Digitial Copy);Buena Vista;26.5;PG-13;Western;2013-12-17
261698;Lone Survivor (DVD & Blu-ray Combo w/ Digital Copy);Universal;34.98;R;Action/Adventure;2014-06-03
261677;Lone Survivor (DVD & Blu-ray Combo/ Rental Ready);Universal;34.98;R;Action/Adventure;2014-07-01
230748;Lone Wolf And Cub: Complete 6 Film Blu-Ray Collection (Blu-ray);AnimEigo;59.98;NR;Foreign;2012-09-25
227577;Lone Wolf McQuade (MGM/UA/ Blu-ray);MGM/UA;16.99;PG;Action/Adventure;2012-07-17
221404;Lonely Place To Die (Blu-ray);IFC;29.98;NR;Action/Adventure;2012-03-20
243865;Lonely Trail (Blu-ray);Olive Films;24.95;NR;Western;2013-04-30
228867;Lonesome (Blu-ray);Criterion Collection;39.95;NR;Comedy;2012-08-28
136964;Lonesome Dove (1989/ RHI Entertainment/ Collector's Edition/ Blu-ray);RHI Entertainment;19.97;NR;Western;2008-08-05
255361;Long Day Closes (Criterion Collection/ DVD & Blu-ray Combo);Criterion Collection;39.95;PG;Family;2014-01-28
232413;Long Day's Journey Into Night (1962/ Olive Films/ Blu-ray);Olive Films;29.95;NR;Drama;2012-10-30
183709;Long Good Friday (Image/ Blu-ray);Image;17.98;R;Mystery/Suspense;2010-08-24
189528;Long Kiss Goodnight (Blu-ray);New Line;9.98;R;Action/Adventure;2011-03-29
203248;Long Riders (Blu-ray);MGM/UA;19.99;R;Western;2011-06-07
266718;Long Way Down (2014/ Blu-ray);Magnolia Pictures;29.98;R;Comedy;2014-09-09
132802;Longest Day (Blu-ray);Fox;24.99;G;War;2008-06-03
261987;Longest Day (DVD & Blu-ray Combo);Fox;24.99;G;War;2014-05-06
264416;Longmire: The Complete 1st & 2nd Seasons (Archive Collection/ On Demand DVD-R/ Blu-ray);Warner Brothers Digital Dist.;59.99;NR;TV Classics;2014-05-24
144738;Longshots (Blu-ray);Weinstein Company;19.97;PG;Comedy;2008-12-02
168831;Look For A Star (Blu-ray);Tai Seng;14.95;NR;Foreign;2009-10-27
164791;Look For A Star (Mega Star/ Blu-ray);Mega Star;50.98;NR;Foreign;2009-07-14
209202;Lookout (Miramax Echo Bridge/ Blu-ray);Miramax Echo Bridge;19.99;R;Action/Adventure;2011-08-09
111869;Lookout (Miramax/ Blu-ray);Miramax;20.0;R;Thriller;2007-08-14
216300;Looney Tunes Showcase, Vol. 1 (Blu-ray);Warner Brothers;24.98;NR;Animation;2012-01-10
228036;Looney Tunes: Chuck Jones: Mouse Chronicles (Blu-ray);Warner Brothers;34.99;NR;Animation;2012-08-28
213905;Looney Tunes: Platinum Collection, Vol. 1 (Blu-ray);Warner Brothers;59.96;NR;Animation;2011-11-15
232843;Looney Tunes: Platinum Collection, Vol. 2 (Blu-ray);Warner Brothers;44.98;NR;Animation;2012-10-16
263536;Looney Tunes: Platinum Collection, Vol. 3 (Blu-ray);Warner Brothers;44.98;NR;Animation;2014-08-12
213860;Looney Tunes: The Platinum Collection, Vol. 1 (Blu-ray/ Ultimate Collector's Edition);Warner Brothers;79.98;NR;Animation;2011-11-15
236555;Looper (Blu-ray w/ Digital Copy);Sony Pictures;26.99;R;SciFi;2012-12-31
180886;Loose Screws: Screwballs II (Blu-ray);Severin;24.95;NR;Comedy;2010-08-10
239628;Lorax (1972/ Deluxe Edition/ Remastered/ Blu-ray w/ Digital Copy);Warner Brothers;24.98;NR;Animation;2013-02-19
218812;Lorax (1972/ Deluxe Edition/ Remastered/ DVD & Blu-ray Combo w/ Digital Copy);Warner Brothers;24.98;NR;Animation;2012-02-14
247725;Lord Of The Flies (1963/ Blu-ray);Criterion Collection;39.95;NR;Drama;2013-07-16
174949;Lord Of The Rings (1978/ Deluxe Edition/ Blu-ray);Warner Brothers;29.99;PG;Animation;2010-04-06
232359;Lord Of The Rings Trilogy (Extended Editions/ Blu-ray w/ 'Hobbit' Movie Money): The Fellowship Of Ring / The Two Towers / ...;New Line;119.98;PG-13;Fantasy;2012-11-06
227990;Lord Of The Rings Trilogy (Extended Editions/ Blu-ray): The Fellowship Of Ring / The Two Towers / ...;New Line;119.98;PG-13;Fantasy;2012-05-22
180551;Lord Of The Rings Trilogy (Extended Editions/ Blu-ray/ Cancelled): The Fellowship Of Ring / The Two Towers / ...;New Line;99.98;PG-13;Fantasy;2010-04-16
200453;Lord Of The Rings Trilogy (Extended Editions/ Blu-ray/ Old Version): The Fellowship Of Ring / The Two Towers / ...;New Line;119.98;PG-13;Fantasy;2011-06-28
174147;Lord Of The Rings Trilogy (Theatrical Editions/ Blu-ray w/ Digital Copy): The Fellowship Of Ring / Two Towers / Return Of King;New Line;64.99;PG-13;Fantasy;2010-04-06
180550;Lord Of The Rings Trilogy (Theatrical Editions/ Blu-ray): The Fellowship Of Ring / Two Towers / Return Of King;New Line;64.99;PG-13;Fantasy;2010-04-13
245363;Lord Of The Rings: Fellowship Of The Ring (New Line/ Widescreen/ Blu-ray/ Steelbook);New Line;24.98;PG-13;Fantasy;2013-05-07
185240;Lord Of The Rings: The Fellowship Of The Ring (New Line/ Widescreen/ Blu-ray);New Line;14.98;PG-13;Fantasy;2010-09-14
232411;Lord Of The Rings: The Fellowship Of The Ring (New Line/ Widescreen/ Extended Cut/ Blu-ray w/ 'Hobbit' Movie Money);New Line;34.99;PG-13;Fantasy;2012-11-06
232358;Lord Of The Rings: The Fellowship Of The Ring (New Line/ Widescreen/ Extended Cut/ DVD & Blu-ray Combo w/ 'Hobbit' Movie Money);New Line;14.98;PG-13;Fantasy;2012-11-06
231552;Lord Of The Rings: The Fellowship Of The Ring (New Line/ Widescreen/ Extendeed Edition/ Blu-ray/ 5-Disc);New Line;34.99;PG-13;Fantasy;2012-08-28
185211;Lord Of The Rings: The Return Of The King (New Line/ Widescreen/ Blu-ray);New Line;14.98;PG-13;Fantasy;2010-09-14
245349;Lord Of The Rings: The Return Of The King (New Line/ Widescreen/ Blu-ray/ Steelbook);New Line;24.98;PG-13;Fantasy;2013-05-07
232304;Lord Of The Rings: The Return Of The King (New Line/ Widescreen/ Extended Cut/ Blu-ray w/ 'Hobbit' Movie Money);New Line;34.99;PG-13;Fantasy;2012-11-06
232368;Lord Of The Rings: The Return Of The King (New Line/ Widescreen/ Extended Cut/ DVD & Blu-ray Combo w/ 'Hobbit' Movie Money);New Line;14.98;PG-13;Fantasy;2012-11-06
231562;Lord Of The Rings: The Return Of The King (New Line/ Widescreen/ Extendeed Edition/ Blu-ray/ 5-Disc);New Line;34.99;PG-13;Fantasy;2012-08-28
185186;Lord Of The Rings: The Two Towers (New Line/ Widescreen/ Blu-ray);New Line;14.98;PG-13;Fantasy;2010-09-14
245332;Lord Of The Rings: The Two Towers (New Line/ Widescreen/ Blu-ray/ Steelbook);New Line;24.98;PG-13;Fantasy;2013-05-07
232309;Lord Of The Rings: The Two Towers (New Line/ Widescreen/ Extendeed Edition/ Blu-ray w/ 'Hobbit' Movie Money);New Line;34.99;PG-13;Fantasy;2012-11-06
231564;Lord Of The Rings: The Two Towers (New Line/ Widescreen/ Extendeed Edition/ Blu-ray);New Line;34.99;PG-13;Fantasy;2012-08-28
232306;Lord Of The Rings: The Two Towers (New Line/ Widescreen/ Extendeed Edition/ DVD & Blu-ray Combo w/ 'Hobbit' Movie Money);New Line;14.98;PG-13;Fantasy;2012-11-06
257366;Lord Of The Rings: Theatrical Trilogy (Blu-ray): The Fellowship Of Ring / The Two Towers / The Return Of The King;New Line;24.98;PG-13;Fantasy;2014-01-24
83877;Lord Of War (Widescreen/ Blu-ray);Lions Gate;14.99;R;Action/Adventure;2006-06-27
175224;Lords Of Dogtown (Sony Pictures/ Unrated Version/ Extended Cut/ Blu-ray);Sony Pictures;24.95;UR;Drama;2010-04-06
260851;Lords Of Salem (Blu-ray);Anchor Bay;17.99;R;Horror;2014-05-20
248909;Lords Of Salem (DVD & Blu-ray Combo w/ Digital Copy);Anchor Bay;26.99;R;Horror;2013-09-03
169031;Lords Of The Street (Peace Arch Trinity/ Blu-ray);Peace Arch Trinity;12.99;NR;Action/Adventure;2009-11-17
244487;Lore (Blu-ray);Music Box Films;34.95;NR;Foreign;2013-05-28
230919;Los Lobos: Kiko Live (Blu-ray/CD Combo);Shout! Factory;21.98;NR;Music;2012-08-21
183765;Losers (2010/ Blu-ray w/ Digital Copy);Warner Brothers;14.97;PG-13;Action/Adventure;2010-07-20
194731;Losers (2010/ Blu-ray);Warner Brothers;14.97;PG-13;Action/Adventure;2011-03-15
238021;Losers (2010/ Blu-ray) / Jonah Hex (Blu-ray);Warner Brothers;19.98;PG-13;Action/Adventure;2013-03-12
225437;Losers (2010/ Blu-ray) / RocknRolla (Blu-ray) / Shoot 'Em Up (Blu-ray);Warner Brothers;19.98;R;Action/Adventure;2012-05-01
231123;Losing Control (2011/ Blu-ray);House Lights Media;19.99;R;Comedy;2012-10-09
184785;Loss Of A Teardrop Diamond (Blu-ray);Screen Media Films;14.98;PG-13;Drama;2010-09-07
176469;Lost (2004/ TV Series): The Complete 1st - 6th Seasons: The Complete Collection (Blu-ray);Buena Vista;279.99;NR;TV Classics;2010-08-24
157263;Lost (2004/ TV Series): The Complete 1st Season (Blu-ray);Buena Vista;49.99;NR;TV Classics;2009-06-16
157288;Lost (2004/ TV Series): The Complete 2nd Season (Blu-ray);Buena Vista;49.99;NR;TV Classics;2009-06-16
116961;Lost (2004/ TV Series): The Complete 3rd Season: The Unexplored Experience (Blu-ray);Buena Vista;49.99;NR;TV Classics;2007-12-11
137003;Lost (2004/ TV Series): The Complete 4th Season (Blu-ray);Buena Vista;49.99;NR;TV Classics;2008-12-09
158472;Lost (2004/ TV Series): The Complete 5th Season (Blu-ray);Buena Vista;49.99;NR;TV Classics;2009-12-08
176500;Lost (2004/ TV Series): The Complete 6th And Final Season (Blu-ray);Buena Vista;49.99;NR;TV Classics;2010-08-24
205808;Lost Boys (1987/ Blu-ray w/ 'Final Destination 5' Movie Cash);Warner Brothers;19.98;R;Horror;2011-08-16
138655;Lost Boys (1987/ Blu-ray);Warner Brothers;14.97;R;Horror;2008-07-29
231559;Lost Boys (1987/ Blu-ray) / The Lost Boys: The Tribe (Uncut/ Blu-ray) / The Lost Boys: The Thirst (Blu-ray);Warner Brothers;19.98;R;Horror;2012-11-13
259740;Lost Boys (1987/ Blu-ray/ Steelbook);Warner Brothers;24.98;R;Horror;2014-03-25
205687;Lost Boys: The Thirst (Blu-ray w/ 'Final Destination 5' Movie Cash);Warner Brothers;19.98;R;Horror;2011-08-16
186941;Lost Boys: The Thirst (Blu-ray w/ Digital Copy);Warner Brothers;14.98;R;Horror;2010-10-12
187239;Lost Boys: The Thirst (Blu-ray/ Rental Ready);Warner Brothers;34.87;R;Horror;2010-10-12
138739;Lost Boys: The Tribe (Uncut Version/ Blu-ray);Warner Brothers;14.98;NR;Horror;2008-07-29
107191;Lost City (2005/ Blu-ray);Magnolia Pictures;16.98;R;Drama;2007-05-01
257479;Lost Future (Blu-ray);E1 Entertainment;14.98;NR;SciFi;2014-06-03
231818;Lost Girl: Seaons 1 (Blu-ray);FUNimation;49.98;NR;TV Classics;2012-10-23
233214;Lost Girl: Season 2 (Blu-ray);FUNimation;74.98;NR;TV Classics;2012-11-13
251490;Lost Girl: Season 3 (Blu-ray);FUNimation;49.98;NR;TV Classics;2013-11-19
261896;Lost Girl: Season 4 (Blu-ray);FUNimation;49.98;NR;TV Classics;2014-06-24
148832;Lost Gods (Blu-ray);Smithsonian;34.98;NR;Documentary;2009-01-13
177691;Lost Honor Of Katharina Blum (Optimum Home Entertainment/ Blu-ray);Optimum Home Entertainment;81.98;NR;Foreign;2010-03-16
179927;Lost In Space (1998/ Alliance Atlantis/ Blu-ray);Alliance Atlantis;27.98;PG-13;SciFi;2010-04-20
182588;Lost In Space (1998/ New Line/ Blu-ray);New Line;14.97;PG-13;SciFi;2010-09-07
256690;Lost In Thailand (Blu-ray);Well Go USA;29.98;NR;Foreign;2014-02-25
190556;Lost In Translation (Widescreen/ Blu-ray);Universal;14.98;R;Drama;2011-01-04
221998;Lost Keaton: Sixteen Comedy Shorts 1934-37: The Gold Ghost / Allez Oop / Palooka From Paducah / One Run Elmer / ... (Blu-ray);Kino;39.95;NR;Comedy;2012-03-20
248080;Lost Medallion: The Adventures Of Billy Stone (DVD & Blu-ray Combo);Bridgestone Group;24.98;PG;Action/Adventure;2013-08-27
264546;Lost Moment (Blu-ray);Olive Films;29.95;NR;Drama;2014-07-08
169259;Lost Treasure Of The Grand Canyon (Blu-ray);Anchor Bay;17.98;NR;Action/Adventure;2009-12-08
241819;Lost World: Jurassic Park (Widescreen/ DVD & Blu-ray Combo);Universal;22.98;PG-13;SciFi;2013-03-26
158195;Lost Worlds: Life In The Balance: IMAX (Razor Digital Entertainment/ Blu-ray);Razor Digital Entertainment;24.98;NR;Documentary;2009-05-12
190236;Lottery Ticket (DVD & Blu-ray Combo w/ Digital Copy);Warner Brothers;14.98;PG-13;Comedy;2010-11-16
181569;Lou Reed: Metal Machine Music (Blu-ray);Sister Ray;55.98;NR;Music;2010-05-25
259933;Lou Reed: Transformer: Classic Albums (Blu-ray) / Live At Montreux 2000 (Blu-ray);Eagle Vision;19.98;NR;Music;2014-03-25
264414;Louie: The Complete 1st Season (Blu-ray);Fox;29.99;NR;TV Classics;2014-06-02
203735;Louie: The Complete 1st Season (DVD & Blu-ray Combo);Fox;29.99;NR;TV Classics;2011-06-21
203734;Louie: The Complete 1st Season (DVD & Blu-ray Combo/ DVD Case);Fox;29.99;NR;TV Classics;2011-06-21
226507;Louie: The Complete 2nd Season (Blu-ray);Fox;29.99;NR;TV Classics;2012-06-19
214500;Loups=Garous (Blu-ray);Sentai FilmWorks;39.98;MA13;Anime;2011-11-29
210357;Lourdes (2009/ Blu-ray);Palisades Tartan;29.95;NR;Foreign;2011-09-13
197772;Love & Other Drugs (Blu-ray w/ Digital Copy);Fox;14.99;R;Drama;2011-03-01
198187;Love & Other Drugs (Blu-ray/ Rental Ready);Fox;39.99;R;Comedy;2011-03-01
195960;Love Aaj Kal (Blu-ray);Eros Entertainment;23.99;NR;Foreign;2010-05-01
251216;Love Actually (Widescreen/ 10th Anniversary Edition/ DVD & Blu-ray Combo w/ Digital Copy & Collectible Ornament);Universal;19.98;R;Comedy;2013-10-15
166596;Love Actually (Widescreen/ Blu-ray);Universal;19.98;R;Comedy;2009-11-03
225293;Love And Anarchy (Kino/ Blu-ray);Kino;29.95;R;Foreign;2012-06-12
246074;Love And Honor (2013/ Blu-ray);IFC;29.98;PG-13;Drama;2013-07-23
181373;Love And Other Disasters (Blu-ray);Image;17.98;R;Comedy;2010-07-06
259081;Love Chunibyo & Other Delusions!: The Complete Collection (Blu-ray);Sentai FilmWorks;59.98;NR;Anime;2014-05-27
229891;Love Exposure (Blu-ray);Olive Films;34.95;NR;Foreign;2012-09-18
241512;Love For Levon (Blu-ray);Time Life;29.99;NR;Music;2013-03-19
241493;Love For Levon (Blu-ray/CD Combo/ 2-Disc);Time Life;39.99;NR;Music;2013-03-19
160490;Love Guru (Paramount/ 2-Disc/ Blu-ray w/ Movie Money);Paramount;29.99;PG-13;Comedy;2009-07-28
142073;Love Guru (Paramount/ 2-Disc/ Blu-ray);Paramount;14.99;PG-13;Comedy;2008-09-16
153498;Love Guru (Paramount/ 2-Disc/ Blu-ray) / Blades Of Glory (Widescreen/ Blu-ray) (Back-To-Back);Paramount;42.99;PG-13;Comedy;2009-03-17
153484;Love Guru (Paramount/ 2-Disc/ Blu-ray) / Blades Of Glory (Widescreen/ Blu-ray) (Side-By-Side);Paramount;42.99;PG-13;Comedy;2009-03-17
240673;Love Guru (Paramount/ 2-Disc/ Blu-ray/ Checkpoint);Paramount;14.99;PG-13;Comedy;2008-09-16
239672;Love Guru (Warner Brothers/ Blu-ray);Warner Brothers;14.97;PG-13;Comedy;2013-01-08
171676;Love Happens (2009/ Blu-ray);Universal;14.98;PG-13;Drama;2010-02-02
260220;Love Happy (Olive Films/ Blu-ray);Olive Films;29.95;NR;Comedy;2014-05-06
264841;Love In The City (Blu-ray);Raro Video USA;34.95;NR;Foreign;2014-07-22
249315;Love Is All You Need (Blu-ray);Sony Pictures;35.99;R;Foreign;2013-09-10
263900;Love Lab: The Complete Collection (Blu-ray);Sentai FilmWorks;59.98;MA13;Anime;2014-08-05
236114;Love Me (Blu-ray);Anchor Bay;19.99;PG-13;Suspense/Thriller;2013-01-15
247111;Love Me Tender (Blu-ray);Fox;19.99;NR;Western;2013-07-30
164692;Love N' Dancing (Blu-ray);Screen Media Films;19.98;PG-13;Drama;2009-10-20
187293;Love Ranch (Blu-ray);National Entertainment Media;14.98;R;Drama;2010-11-19
220559;Love Story (1970/ Paramount/ Blu-ray);Paramount;22.99;PG;Drama;2012-02-07
220525;Love Story (1970/ Paramount/ Blu-ray/ Checkpoint);Paramount;22.99;PG;Drama;2012-02-07
239927;Love Story (1970/ Warner Brothers/ Blu-ray);Warner Brothers;14.97;PG;Drama;2013-01-08
265058;Love Streams (DVD & Blu-ray Combo);Criterion Collection;39.95;PG-13;Comedy;2014-08-12
254847;Love, Elections And Chocolate: Complete Collection (Blu-ray);Sentai FilmWorks;59.98;MA15;Anime;2014-02-25
210328;Love, Wedding, Marriage (Blu-ray);IFC;29.98;PG-13;Comedy;2011-09-13
167417;Lovecraft: Fear Of The Unknown (Blu-ray);Cinevolve Studios;24.95;NR;Documentary;2009-10-27
251631;Lovelace (Blu-ray);Anchor Bay;24.99;R;Drama;2013-11-05
184693;Lovely Bones (Blu-ray/ Special Edition);Paramount;14.99;PG-13;Drama;2010-08-03
